Current (mA)	Voltage (mV)
0	-1.82E-05
0	-1.84E-05
-0.01	-1.81E-05
-0.02	-1.82E-05
-0.03	-1.83E-05
-0.04	-1.85E-05
-0.05	-1.83E-05
-0.06	-1.82E-05
-0.07	-1.79E-05
-0.08	-1.80E-05
-0.09	-1.82E-05
-0.1	-1.79E-05
-0.11	-1.81E-05
-0.12	-1.81E-05
-0.13	-1.85E-05
-0.14	-1.86E-05
-0.15	-1.89E-05
-0.16	-1.91E-05
-0.17	-1.90E-05
-0.18	-1.89E-05
-0.19	-1.91E-05
-0.2	-1.90E-05
-0.21	-1.89E-05
-0.22	-1.89E-05
-0.23	-1.89E-05
-0.24	-1.91E-05
-0.25	-1.99E-05
-0.26	-2.89E-05
-0.27	-0.00167616
-0.28	-0.00282186
-0.29	-0.0030204
-0.3	-0.00313214
-0.31	-0.00321934
-0.32	-0.00329483
-0.33	-0.00336605
-0.34	-0.00343319
-0.35	-0.00349622
-0.36	-0.00356006
-0.37	-0.00362218
-0.38	-0.00368274
-0.39	-0.00441245
-0.4	-0.00447192
-0.41	-0.00452998
-0.42	-0.00458775
-0.43	-0.00464612
-0.44	-0.00470366
-0.45	-0.00476159
-0.46	-0.00481958
-0.47	-0.00487598
-0.48	-0.00493342
-0.49	-0.00499056
-0.5	-0.00504814
-0.51	-0.00579378
-0.52	-0.00585232
-0.53	-0.00591046
-0.54	-0.00596924
-0.55	-0.00602872
-0.56	-0.00608746
-0.57	-0.00614677
-0.58	-0.00620467
-0.59	-0.00626364
-0.6	-0.00632147
-0.61	-0.00637901
-0.62	-0.0064349
-0.63	-0.0071661
-0.64	-0.0072159
-0.65	-0.00726609
-0.66	-0.00731666
-0.67	-0.00736707
-0.68	-0.00741731
-0.69	-0.00746677
-0.7	-0.00751596
-0.71	-0.00756381
-0.72	-0.00761223
-0.73	-0.00765953
-0.74	-0.00770692
-0.75	-0.00775482
-0.76	-0.00780238
-0.77	-0.00850451
-0.78	-0.0085606
-0.79	-0.00860989
-0.8	-0.00865964
-0.81	-0.00871097
-0.82	-0.00876278
-0.83	-0.00881771
-0.84	-0.00887181
-0.85	-0.00892789
-0.86	-0.00898274
-0.87	-0.00903945
-0.88	-0.00909647
-0.89	-0.00984782
-0.9	-0.00990682
-0.91	-0.00996715
-0.92	-0.0100262
-0.93	-0.0100858
-0.94	-0.0101447
-0.95	-0.0102015
-0.96	-0.0102598
-0.97	-0.0103177
-0.98	-0.0103757
-0.99	-0.0104329
-1	-0.0104904
-1	-0.0105396
-0.99	-0.0105732
-0.98	-0.0105945
-0.97	-0.0106059
-0.96	-0.01061
-0.95	-0.010607
-0.94	-0.0105987
-0.93	-0.0105853
-0.92	-0.0105676
-0.91	-0.0105463
-0.9	-0.0105215
-0.89	-0.0104938
-0.88	-0.00973802
-0.87	-0.00967524
-0.86	-0.00961515
-0.85	-0.00955586
-0.84	-0.00949455
-0.83	-0.00943601
-0.82	-0.00937737
-0.81	-0.00932187
-0.8	-0.00926595
-0.79	-0.00920996
-0.78	-0.00915535
-0.77	-0.00910139
-0.76	-0.00904884
-0.75	-0.00832106
-0.74	-0.00828027
-0.73	-0.00823188
-0.72	-0.00818301
-0.71	-0.00813656
-0.7	-0.00809106
-0.69	-0.0080445
-0.68	-0.00799866
-0.67	-0.00795136
-0.66	-0.00790375
-0.65	-0.00785619
-0.64	-0.00780783
-0.63	-0.00775717
-0.62	-0.00770804
-0.61	-0.00695325
-0.6	-0.00689517
-0.59	-0.00684071
-0.58	-0.00678338
-0.57	-0.00672689
-0.56	-0.00666949
-0.55	-0.00661285
-0.54	-0.00655526
-0.53	-0.00649647
-0.52	-0.00643836
-0.51	-0.00637969
-0.5	-0.0063221
-0.49	-0.00556424
-0.48	-0.00550689
-0.47	-0.00545143
-0.46	-0.00539503
-0.45	-0.00533687
-0.44	-0.00527896
-0.43	-0.00522282
-0.42	-0.00516546
-0.41	-0.00510719
-0.4	-0.00504904
-0.39	-0.0049911
-0.38	-0.00493292
-0.37	-0.00417894
-0.36	-0.00411576
-0.35	-0.00405673
-0.34	-0.00399954
-0.33	-0.00394013
-0.32	-0.00388046
-0.31	-0.00382206
-0.3	-0.00376324
-0.29	-0.00370168
-0.28	-0.00281629
-0.27	-0.00168543
-0.26	-0.0004555
-0.25	-0.0002445
-0.24	-0.00016909
-0.23	-0.00013169
-0.22	-0.00010696
-0.21	-9.15E-05
-0.2	-8.02E-05
-0.19	-7.36E-05
-0.18	-6.77E-05
-0.17	-6.17E-05
-0.16	-5.84E-05
-0.15	-5.52E-05
-0.14	-5.23E-05
-0.13	-5.02E-05
-0.12	-4.78E-05
-0.11	-4.59E-05
-0.1	-4.42E-05
-0.09	-4.26E-05
-0.08	-4.12E-05
-0.07	-4.02E-05
-0.06	-3.88E-05
-0.05	-3.77E-05
-0.04	-3.71E-05
-0.03	-3.64E-05
-0.02	-3.56E-05
-0.01	-3.50E-05
8.67E-17	-3.48E-05
0.01	-3.40E-05
0.02	-3.39E-05
0.03	-3.34E-05
0.04	-3.30E-05
0.05	-3.24E-05
